trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.6, 'e': 0.12003162851145673}",25,10,11.6639534741204,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.6, 'e': 0.11765484302177918}",25,15,8.799361913933215,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.6, 'e': 0.11532512103806251}",20,0,24.823587868313993,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.6, 'e': 0.11304153064044985}",20,10,4.815033282542471,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.6, 'e': 0.11080315836233387}",25,17,15.690901771479014,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.6, 'e': 0.10860910882495796}",25,13,20.752841393997635,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.6, 'e': 0.1064585043792528}",30,12,-27.62054035477571,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
114,False,"{'a': 0.6, 'e': 0.104350484754765}",20,2,26.42377562212248,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.6, 'e': 0.10228420671553744}",25,11,12.564908435883,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.6, 'e': 0.1002588437228037}",20,6,23.621079237864578,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.6, 'e': 0.09827358560436154}",30,8,33.12300251058541,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.6, 'e': 0.09632763823049303}",35,18,31.31974350838835,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.6, 'e': 0.09442022319630235}",35,20,18.323252465227874,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
